Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Laadimise ajatempel aruandele;Meetriku väärtus
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;131...140;27.02.2025 13:21:59;
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;131...140;27.02.2025 13:21:59;
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;131...140;27.02.2025 13:21:59;
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;131...140;27.02.2025 13:21:59;
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;131...140;27.02.2025 13:21:59;
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;131...140;27.02.2025 13:21:59;
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;131...140;27.02.2025 13:21:59;
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;131...140;27.02.2025 13:21:59;
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;131...140;27.02.2025 13:21:59;
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;131...140;27.02.2025 13:21:59;
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;131...140;27.02.2025 13:21:59;
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;131...140;27.02.2025 13:21:59;
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;131...140;27.02.2025 13:21:59;
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;131...140;27.02.2025 13:21:59;
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;131...140;27.02.2025 13:21:59;
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;131...140;27.02.2025 13:21:59;
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;131...140;27.02.2025 13:21:59;
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;131...140;27.02.2025 13:21:59;
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;131...140;27.02.2025 13:21:59;
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;131...140;27.02.2025 13:21:59;
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;121...130;27.02.2025 13:21:59;
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;121...130;27.02.2025 13:21:59;
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;121...130;27.02.2025 13:21:59;
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;121...130;27.02.2025 13:21:59;
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;121...130;27.02.2025 13:21:59;
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;121...130;27.02.2025 13:21:59;
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;121...130;27.02.2025 13:21:59;
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;121...130;27.02.2025 13:21:59;
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;121...130;27.02.2025 13:21:59;
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;121...130;27.02.2025 13:21:59;
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;121...130;27.02.2025 13:21:59;
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;121...130;27.02.2025 13:21:59;
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;121...130;27.02.2025 13:21:59;
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;121...130;27.02.2025 13:21:59;
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;121...130;27.02.2025 13:21:59;
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;121...130;27.02.2025 13:21:59;
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;121...130;27.02.2025 13:21:59;
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;121...130;27.02.2025 13:21:59;
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;121...130;27.02.2025 13:21:59;
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;121...130;27.02.2025 13:21:59;
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;121...130;27.02.2025 13:21:59;
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;121...130;27.02.2025 13:21:59;
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;121...130;27.02.2025 13:21:59;
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;121...130;27.02.2025 13:21:59;
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;121...130;27.02.2025 13:21:59;
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;111...120;27.02.2025 13:21:59;
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;111...120;27.02.2025 13:21:59;
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;111...120;27.02.2025 13:21:59;
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;111...120;27.02.2025 13:21:59;
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;111...120;27.02.2025 13:21:59;
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;111...120;27.02.2025 13:21:59;
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;111...120;27.02.2025 13:21:59;
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;111...120;27.02.2025 13:21:59;
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;111...120;27.02.2025 13:21:59;
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;111...120;27.02.2025 13:21:59;
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;111...120;27.02.2025 13:21:59;
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;111...120;27.02.2025 13:21:59;
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;111...120;27.02.2025 13:21:59;
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;111...120;27.02.2025 13:21:59;
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;111...120;27.02.2025 13:21:59;
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;111...120;27.02.2025 13:21:59;
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;111...120;27.02.2025 13:21:59;
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;111...120;27.02.2025 13:21:59;
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;111...120;27.02.2025 13:21:59;
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;111...120;27.02.2025 13:21:59;
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;111...120;27.02.2025 13:21:59;
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;111...120;27.02.2025 13:21:59;
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;111...120;27.02.2025 13:21:59;
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;111...120;27.02.2025 13:21:59;
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;111...120;27.02.2025 13:21:59;
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;101...110;27.02.2025 13:21:59;
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;101...110;27.02.2025 13:21:59;
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;101...110;27.02.2025 13:21:59;
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;101...110;27.02.2025 13:21:59;
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;101...110;27.02.2025 13:21:59;
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;101...110;27.02.2025 13:21:59;
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;101...110;27.02.2025 13:21:59;
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;101...110;27.02.2025 13:21:59;
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;101...110;27.02.2025 13:21:59;
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;101...110;27.02.2025 13:21:59;
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;101...110;27.02.2025 13:21:59;
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;101...110;27.02.2025 13:21:59;
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;101...110;27.02.2025 13:21:59;
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;101...110;27.02.2025 13:21:59;
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;101...110;27.02.2025 13:21:59;
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;101...110;27.02.2025 13:21:59;
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;101...110;27.02.2025 13:21:59;
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;101...110;27.02.2025 13:21:59;
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;101...110;27.02.2025 13:21:59;
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;101...110;27.02.2025 13:21:59;
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;101...110;27.02.2025 13:21:59;
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;101...110;27.02.2025 13:21:59;
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;101...110;27.02.2025 13:21:59;
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;101...110;27.02.2025 13:21:59;
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;101...110;27.02.2025 13:21:59;
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;27.02.2025 13:21:59;
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;27.02.2025 13:21:59;
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;27.02.2025 13:21:59;
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;27.02.2025 13:21:59;
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;27.02.2025 13:21:59;
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;27.02.2025 13:21:59;
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;27.02.2025 13:21:59;
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;27.02.2025 13:21:59;
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;27.02.2025 13:21:59;
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;27.02.2025 13:21:59;
2009;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;27.02.2025 13:21:59;
2010;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;27.02.2025 13:21:59;
2011;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;27.02.2025 13:21:59;
2012;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;27.02.2025 13:21:59;
2013;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;27.02.2025 13:21:59;
2014;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;27.02.2025 13:21:59;
2015;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;27.02.2025 13:21:59;
2016;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;27.02.2025 13:21:59;
2017;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;27.02.2025 13:21:59;
2018;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;27.02.2025 13:21:59;
2019;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;27.02.2025 13:21:59;
2020;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;27.02.2025 13:21:59;0,2
2021;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;27.02.2025 13:21:59;0,2
2022;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;27.02.2025 13:21:59;0,2
2023;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;91...100;27.02.2025 13:21:59;0,2
1999;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;27.02.2025 13:21:59;
2000;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;27.02.2025 13:21:59;
2001;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;27.02.2025 13:21:59;
2002;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;27.02.2025 13:21:59;
2003;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;27.02.2025 13:21:59;
2004;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;27.02.2025 13:21:59;
2005;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;27.02.2025 13:21:59;
2006;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;27.02.2025 13:21:59;
2007;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;27.02.2025 13:21:59;
2008;Kogu metsamaa;Kokku;Pindala (tuhat ha);Hall lepp;81...90;27.02.2025 13:21:59;
