Aasta;Majanduskategooria;Omand;Meetrik;Enamuspuuliik;Kaitsepõhjus;Laadimise ajatempel aruandele;Meetriku väärtus
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;131...140;27.02.2025 13:21:59;
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;131...140;27.02.2025 13:21:59;
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;131...140;27.02.2025 13:21:59;
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;131...140;27.02.2025 13:21:59;
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;131...140;27.02.2025 13:21:59;
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;131...140;27.02.2025 13:21:59;
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;131...140;27.02.2025 13:21:59;
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;131...140;27.02.2025 13:21:59;
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;131...140;27.02.2025 13:21:59;
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;131...140;27.02.2025 13:21:59;
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;131...140;27.02.2025 13:21:59;
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;131...140;27.02.2025 13:21:59;
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;131...140;27.02.2025 13:21:59;
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;131...140;27.02.2025 13:21:59;
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;131...140;27.02.2025 13:21:59;
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;131...140;27.02.2025 13:21:59;
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;131...140;27.02.2025 13:21:59;
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;131...140;27.02.2025 13:21:59;
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;27.02.2025 13:21:59;
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;27.02.2025 13:21:59;
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;27.02.2025 13:21:59;
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;27.02.2025 13:21:59;
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;27.02.2025 13:21:59;
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;27.02.2025 13:21:59;
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;27.02.2025 13:21:59;
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;27.02.2025 13:21:59;
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;27.02.2025 13:21:59;
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;27.02.2025 13:21:59;
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;27.02.2025 13:21:59;
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;27.02.2025 13:21:59;
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;27.02.2025 13:21:59;
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;27.02.2025 13:21:59;
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;27.02.2025 13:21:59;
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;27.02.2025 13:21:59;
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;27.02.2025 13:21:59;
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;27.02.2025 13:21:59;
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;27.02.2025 13:21:59;
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;27.02.2025 13:21:59;
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;27.02.2025 13:21:59;
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;27.02.2025 13:21:59;
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;27.02.2025 13:21:59;
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;27.02.2025 13:21:59;
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;121...130;27.02.2025 13:21:59;
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;27.02.2025 13:21:59;
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;27.02.2025 13:21:59;0,6
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;27.02.2025 13:21:59;0,4
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;27.02.2025 13:21:59;0,3
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;27.02.2025 13:21:59;0,2
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;27.02.2025 13:21:59;0,2
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;27.02.2025 13:21:59;
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;27.02.2025 13:21:59;
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;27.02.2025 13:21:59;
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;27.02.2025 13:21:59;
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;27.02.2025 13:21:59;
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;27.02.2025 13:21:59;
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;27.02.2025 13:21:59;
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;27.02.2025 13:21:59;
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;27.02.2025 13:21:59;
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;27.02.2025 13:21:59;0,2
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;27.02.2025 13:21:59;0,2
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;27.02.2025 13:21:59;0,2
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;27.02.2025 13:21:59;0,2
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;27.02.2025 13:21:59;0,2
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;27.02.2025 13:21:59;0,5
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;27.02.2025 13:21:59;0,5
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;27.02.2025 13:21:59;0,5
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;27.02.2025 13:21:59;0,5
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;111...120;27.02.2025 13:21:59;0,5
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;27.02.2025 13:21:59;
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;27.02.2025 13:21:59;
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;27.02.2025 13:21:59;
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;27.02.2025 13:21:59;
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;27.02.2025 13:21:59;
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;27.02.2025 13:21:59;
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;27.02.2025 13:21:59;
2006;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;27.02.2025 13:21:59;
2007;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;27.02.2025 13:21:59;
2008;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;27.02.2025 13:21:59;
2009;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;27.02.2025 13:21:59;0,2
2010;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;27.02.2025 13:21:59;0,2
2011;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;27.02.2025 13:21:59;0,4
2012;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;27.02.2025 13:21:59;0,4
2013;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;27.02.2025 13:21:59;0,4
2014;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;27.02.2025 13:21:59;0,4
2015;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;27.02.2025 13:21:59;0,6
2016;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;27.02.2025 13:21:59;0,6
2017;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;27.02.2025 13:21:59;0,6
2018;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;27.02.2025 13:21:59;0,7
2019;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;27.02.2025 13:21:59;0,7
2020;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;27.02.2025 13:21:59;0,6
2021;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;27.02.2025 13:21:59;0,6
2022;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;27.02.2025 13:21:59;0,8
2023;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;101...110;27.02.2025 13:21:59;0,8
1999;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;27.02.2025 13:21:59;1,1
2000;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;27.02.2025 13:21:59;0,6
2001;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;27.02.2025 13:21:59;0,4
2002;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;27.02.2025 13:21:59;0,3
2003;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;27.02.2025 13:21:59;0,2
2004;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;27.02.2025 13:21:59;0,2
2005;Majandatav metsamaa;Kokku;Pindala (tuhat ha);Haab;91...100;27.02.2025 13:21:59;0,2
